Majors, Minors, and Certificates

MINORS

American Studies, Minor

Business Administration, Minor

Communications, Minor (Capital)

Computer Science, Minor (Capital)

Homeland Security, Minor

Human Resource Management, Minor

Information Sciences and Technology for Accounting, Minor

Information Sciences and Technology/Finance, Minor

International Business Administration, Minor

Materials Science and Engineering, Minor

Mechatronics Technology, Minor

Mechatronics, Minor

Sales, Minor

Writing, Minor
