Majors, Minors, and Certificates

MINORS

Biological Engineering, Minor

Biomedical Engineering, Minor

Computational Sciences, Minor

Computer Engineering, Minor (Engineering)

Cybersecurity Computational Foundations, Minor

Engineering Design, Minor

Engineering Leadership Development, Minor

Engineering Mechanics, Minor

Environmental Engineering, Minor

Information Sciences and Technology for Aerospace Engineering, Minor

Information Sciences and Technology for Industrial Engineering, Minor

International Engineering, Minor

Nanotechnology, Minor

Residential Construction, Minor

Service Enterprise Engineering, Minor

Six Sigma, Minor
