Majors, Minors, and Certificates

MINORS

Accounting, Minor

Applied Economics, Minor

Communication Arts and Mass Media, Minor

Computer Engineering, Minor (Behrend)

Computer Science, Minor (Behrend)

Crime, Law, and Psychology, Minor

Data Visualization, Minor

English, Minor (Behrend)

Finance, Minor

Game Development, Minor

History, Minor (Behrend)

Management Information Systems, Minor

Marketing, Minor

Mathematics, Minor (Behrend)

Media Production, Minor

Operations and Supply Chain Management, Minor

Politics and Government, Minor

Project and Supply Chain Management, Minor

Psychological Science, Minor

Statistics, Minor (Behrend)

Technical Sales, Minor

Transnational Perspectives, Minor
